Season,Position,Club,Played,Wins,Draws,Losses,GF,GA,GD,Points
0910,16,Wigan,38,9,9,20,37.0,79.0,-42.0,36
0910,17,West Ham,38,8,11,19,47.0,66.0,-19.0,35
0910,18,Burnley,38,8,6,24,42.0,82.0,-40.0,30
0910,19,Hull,38,6,12,20,34.0,75.0,-41.0,30
0910,20,Portsmouth,38,7,7,24,34.0,66.0,-32.0,28
1011,1,Man United,38,23,11,4,78.0,37.0,41.0,80
1011,2,Chelsea,38,21,8,9,69.0,33.0,36.0,71
1011,3,Man City,38,21,8,9,60.0,33.0,27.0,71
1011,4,Arsenal,38,19,11,8,72.0,43.0,29.0,68
1011,5,Tottenham,38,16,14,8,55.0,46.0,9.0,62
1011,6,Liverpool,38,17,7,14,59.0,44.0,15.0,58
1011,7,Everton,38,13,15,10,51.0,45.0,6.0,54
1011,8,Fulham,38,11,16,11,49.0,43.0,6.0,49
1011,9,Aston Villa,38,12,12,14,48.0,59.0,-11.0,48
1011,10,Sunderland,38,12,11,15,45.0,56.0,-11.0,47
1011,11,West Brom,38,12,11,15,56.0,71.0,-15.0,47
1011,12,Newcastle,38,11,13,14,56.0,57.0,-1.0,46
1011,13,Stoke,38,13,7,18,46.0,48.0,-2.0,46
1011,14,Bolton,38,12,10,16,52.0,56.0,-4.0,46
1011,15,Blackburn,38,11,10,17,46.0,59.0,-13.0,43
1011,16,Wigan,38,9,15,14,40.0,61.0,-21.0,42
1011,17,Wolves,38,11,7,20,46.0,66.0,-20.0,40
1011,18,Birmingham,38,8,15,15,37.0,58.0,-21.0,39
1011,19,Blackpool,38,10,9,19,55.0,78.0,-23.0,39
1011,20,West Ham,38,7,12,19,43.0,70.0,-27.0,33
1112,1,Man City,38,28,5,5,93.0,29.0,64.0,89
1112,2,Man United,38,28,5,5,89.0,33.0,56.0,89
1112,3,Arsenal,38,21,7,10,74.0,49.0,25.0,70
1112,4,Tottenham,38,20,9,9,66.0,41.0,25.0,69
1112,5,Newcastle,38,19,8,11,56.0,51.0,5.0,65
1112,6,Chelsea,38,18,10,10,65.0,46.0,19.0,64
1112,7,Everton,38,15,11,12,50.0,40.0,10.0,56
1112,8,Liverpool,38,14,10,14,47.0,40.0,7.0,52
1112,9,Fulham,38,14,10,14,48.0,51.0,-3.0,52
1112,10,West Brom,38,13,8,17,45.0,52.0,-7.0,47
1112,11,Swansea,38,12,11,15,44.0,51.0,-7.0,47
1112,12,Norwich,38,12,11,15,52.0,66.0,-14.0,47
1112,13,Sunderland,38,11,12,15,45.0,46.0,-1.0,45
1112,14,Stoke,38,11,12,15,36.0,53.0,-17.0,45
1112,15,Wigan,38,11,10,17,42.0,62.0,-20.0,43
1112,16,Aston Villa,38,7,17,14,37.0,53.0,-16.0,38
1112,17,QPR,38,10,7,21,43.0,66.0,-23.0,37
1112,18,Bolton,38,10,6,22,46.0,77.0,-31.0,36
1112,19,Blackburn,38,8,7,23,48.0,78.0,-30.0,31
1112,20,Wolves,38,5,10,23,40.0,82.0,-42.0,25
1213,1,Man United,38,28,5,5,86.0,43.0,43.0,89
1213,2,Man City,38,23,9,6,66.0,34.0,32.0,78
1213,3,Chelsea,38,22,9,7,75.0,39.0,36.0,75
1213,4,Arsenal,38,21,10,7,72.0,37.0,35.0,73
1213,5,Tottenham,38,21,9,8,66.0,46.0,20.0,72
1213,6,Everton,38,16,15,7,55.0,40.0,15.0,63
1213,7,Liverpool,38,16,13,9,71.0,43.0,28.0,61
1213,8,West Brom,38,14,7,17,53.0,57.0,-4.0,49
1213,9,Swansea,38,11,13,14,47.0,51.0,-4.0,46
1213,10,West Ham,38,12,10,16,45.0,53.0,-8.0,46
1213,11,Norwich,38,10,14,14,41.0,58.0,-17.0,44
1213,12,Fulham,38,11,10,17,50.0,60.0,-10.0,43
1213,13,Stoke,38,9,15,14,34.0,45.0,-11.0,42
1213,14,Southampton,38,9,14,15,49.0,60.0,-11.0,41
1213,15,Aston Villa,38,10,11,17,47.0,69.0,-22.0,41
1213,16,Newcastle,38,11,8,19,45.0,68.0,-23.0,41
1213,17,Sunderland,38,9,12,17,41.0,54.0,-13.0,39
1213,18,Wigan,38,9,9,20,47.0,73.0,-26.0,36
1213,19,Reading,38,6,10,22,43.0,73.0,-30.0,28
1213,20,QPR,38,4,13,21,30.0,60.0,-30.0,25
1314,1,Man City,38,27,5,6,102.0,37.0,65.0,86
1314,2,Liverpool,38,26,6,6,101.0,50.0,51.0,84
1314,3,Chelsea,38,25,7,6,71.0,27.0,44.0,82
1314,4,Arsenal,38,24,7,7,68.0,41.0,27.0,79
1314,5,Everton,38,21,9,8,61.0,39.0,22.0,72
1314,6,Tottenham,38,21,6,11,55.0,51.0,4.0,69
1314,7,Man United,38,19,7,12,64.0,43.0,21.0,64
1314,8,Southampton,38,15,11,12,54.0,46.0,8.0,56
1314,9,Stoke,38,13,11,14,45.0,52.0,-7.0,50
1314,10,Newcastle,38,15,4,19,43.0,59.0,-16.0,49
1314,11,Crystal Palace,38,13,6,19,33.0,48.0,-15.0,45
1314,12,Swansea,38,11,9,18,54.0,54.0,0.0,42
1314,13,West Ham,38,11,7,20,40.0,51.0,-11.0,40
1314,14,Sunderland,38,10,8,20,41.0,60.0,-19.0,38
1314,15,Aston Villa,38,10,8,20,39.0,61.0,-22.0,38
1314,16,Hull,38,10,7,21,38.0,53.0,-15.0,37
1314,17,West Brom,38,7,15,16,43.0,59.0,-16.0,36
1314,18,Norwich,38,8,9,21,28.0,62.0,-34.0,33
1314,19,Fulham,38,9,5,24,40.0,85.0,-45.0,32
1314,20,Cardiff,38,7,9,22,32.0,74.0,-42.0,30
1415,1,Chelsea,38,26,9,3,73.0,32.0,41.0,87
1415,2,Man City,38,24,7,7,83.0,38.0,45.0,79
1415,3,Arsenal,38,22,9,7,71.0,36.0,35.0,75
1415,4,Man United,38,20,10,8,62.0,37.0,25.0,70
1415,5,Tottenham,38,19,7,12,58.0,53.0,5.0,64
1415,6,Liverpool,38,18,8,12,52.0,48.0,4.0,62
1415,7,Southampton,38,18,6,14,54.0,33.0,21.0,60
1415,8,Swansea,38,16,8,14,46.0,49.0,-3.0,56
1415,9,Stoke,38,15,9,14,48.0,45.0,3.0,54
1415,10,Crystal Palace,38,13,9,16,47.0,51.0,-4.0,48
1415,11,Everton,38,12,11,15,48.0,50.0,-2.0,47
1415,12,West Ham,38,12,11,15,44.0,47.0,-3.0,47
1415,13,West Brom,38,11,11,16,38.0,51.0,-13.0,44
1415,14,Leicester,38,11,8,19,46.0,55.0,-9.0,41
1415,15,Newcastle,38,10,9,19,40.0,63.0,-23.0,39
1415,16,Sunderland,38,7,17,14,31.0,53.0,-22.0,38
1415,17,Aston Villa,38,10,8,20,31.0,57.0,-26.0,38
1415,18,Hull,38,8,11,19,33.0,51.0,-18.0,35
1415,19,Burnley,38,7,12,19,28.0,53.0,-25.0,33
1415,20,QPR,38,8,6,24,42.0,73.0,-31.0,30
1516,1,Leicester,38,23,12,3,68.0,36.0,32.0,81
1516,2,Arsenal,38,20,11,7,65.0,36.0,29.0,71
1516,3,Tottenham,38,19,13,6,69.0,35.0,34.0,70
1516,4,Man City,38,19,9,10,71.0,41.0,30.0,66
1516,5,Man United,38,19,9,10,49.0,35.0,14.0,66
1516,6,Southampton,38,18,9,11,59.0,41.0,18.0,63
1516,7,West Ham,38,16,14,8,65.0,51.0,14.0,62
1516,8,Liverpool,38,16,12,10,63.0,50.0,13.0,60
1516,9,Stoke,38,14,9,15,41.0,55.0,-14.0,51
1516,10,Chelsea,38,12,14,12,59.0,53.0,6.0,50
1516,11,Everton,38,11,14,13,59.0,55.0,4.0,47
1516,12,Swansea,38,12,11,15,42.0,52.0,-10.0,47
1516,13,Watford,38,12,9,17,40.0,50.0,-10.0,45
1516,14,West Brom,38,10,13,15,34.0,48.0,-14.0,43
1516,15,Crystal Palace,38,11,9,18,39.0,51.0,-12.0,42
1516,16,Bournemouth,38,11,9,18,45.0,67.0,-22.0,42
1516,17,Sunderland,38,9,12,17,48.0,62.0,-14.0,39
1516,18,Newcastle,38,9,10,19,44.0,65.0,-21.0,37
1516,19,Norwich,38,9,7,22,39.0,67.0,-28.0,34
1516,20,Aston Villa,38,3,8,27,27.0,76.0,-49.0,17
1617,1,Chelsea,38,30,3,5,85.0,33.0,52.0,93
1617,2,Tottenham,38,26,8,4,86.0,26.0,60.0,86
1617,3,Man City,38,23,9,6,80.0,39.0,41.0,78
1617,4,Liverpool,38,22,10,6,78.0,42.0,36.0,76
1617,5,Arsenal,38,23,6,9,77.0,44.0,33.0,75
1617,6,Man United,38,18,15,5,54.0,29.0,25.0,69
1617,7,Everton,38,17,10,11,62.0,44.0,18.0,61
1617,8,Southampton,38,12,10,16,41.0,48.0,-7.0,46
1617,9,Bournemouth,38,12,10,16,55.0,67.0,-12.0,46
1617,10,West Brom,38,12,9,17,43.0,51.0,-8.0,45
1617,11,West Ham,38,12,9,17,47.0,64.0,-17.0,45
1617,12,Leicester,38,12,8,18,48.0,63.0,-15.0,44
1617,13,Stoke,38,11,11,16,41.0,56.0,-15.0,44
1617,14,Crystal Palace,38,12,5,21,50.0,63.0,-13.0,41
1617,15,Swansea,38,12,5,21,45.0,70.0,-25.0,41
1617,16,Burnley,38,11,7,20,39.0,55.0,-16.0,40
1617,17,Watford,38,11,7,20,40.0,68.0,-28.0,40
1617,18,Hull,38,9,7,22,37.0,80.0,-43.0,34
1617,19,Middlesbrough,38,5,13,20,27.0,53.0,-26.0,28
1617,20,Sunderland,38,6,6,26,29.0,69.0,-40.0,24
1718,1,Man City,38,32,4,2,106.0,27.0,79.0,100
1718,2,Man United,38,25,6,7,68.0,28.0,40.0,81
1718,3,Tottenham,38,23,8,7,74.0,36.0,38.0,77
1718,4,Liverpool,38,21,12,5,84.0,38.0,46.0,75
1718,5,Chelsea,38,21,7,10,62.0,38.0,24.0,70
1718,6,Arsenal,38,19,6,13,74.0,51.0,23.0,63
1718,7,Burnley,38,14,12,12,36.0,39.0,-3.0,54
1718,8,Everton,38,13,10,15,44.0,58.0,-14.0,49
1718,9,Leicester,38,12,11,15,56.0,60.0,-4.0,47
1718,10,Newcastle,38,12,8,18,39.0,47.0,-8.0,44
1718,11,Crystal Palace,38,11,11,16,45.0,55.0,-10.0,44
1718,12,Bournemouth,38,11,11,16,45.0,61.0,-16.0,44
1718,13,West Ham,38,10,12,16,48.0,68.0,-20.0,42
1718,14,Watford,38,11,8,19,44.0,64.0,-20.0,41
1718,15,Brighton,38,9,13,16,34.0,54.0,-20.0,40
1718,16,Huddersfield,38,9,10,19,28.0,58.0,-30.0,37
1718,17,Southampton,38,7,15,16,37.0,56.0,-19.0,36
1718,18,Swansea,38,8,9,21,28.0,56.0,-28.0,33
1718,19,Stoke,38,7,12,19,35.0,68.0,-33.0,33
1718,20,West Brom,38,6,13,19,31.0,56.0,-25.0,31
1819,1,Man City,38,32,2,4,95.0,23.0,72.0,98
1819,2,Liverpool,38,30,7,1,89.0,22.0,67.0,97
1819,3,Chelsea,38,21,9,8,63.0,39.0,24.0,72
1819,4,Tottenham,38,23,2,13,67.0,39.0,28.0,71
1819,5,Arsenal,38,21,7,10,73.0,51.0,22.0,70
1819,6,Man United,38,19,9,10,65.0,54.0,11.0,66
1819,7,Wolves,38,16,9,13,47.0,46.0,1.0,57
1819,8,Everton,38,15,9,14,54.0,46.0,8.0,54
1819,9,Leicester,38,15,7,16,51.0,48.0,3.0,52
1819,10,West Ham,38,15,7,16,52.0,55.0,-3.0,52
1819,11,Watford,38,14,8,16,52.0,59.0,-7.0,50
1819,12,Crystal Palace,38,14,7,17,51.0,53.0,-2.0,49
1819,13,Newcastle,38,12,9,17,42.0,48.0,-6.0,45
1819,14,Bournemouth,38,13,6,19,56.0,70.0,-14.0,45
1819,15,Burnley,38,11,7,20,45.0,68.0,-23.0,40
1819,16,Southampton,38,9,12,17,45.0,65.0,-20.0,39
1819,17,Brighton,38,9,9,20,35.0,60.0,-25.0,36
1819,18,Cardiff,38,10,4,24,34.0,69.0,-35.0,34
1819,19,Fulham,38,7,5,26,34.0,81.0,-47.0,26
1819,20,Huddersfield,38,3,7,28,22.0,76.0,-54.0,16
1920,1,Liverpool,38,32,3,3,85.0,33.0,52.0,99
1920,2,Man City,38,26,3,9,102.0,35.0,67.0,81
1920,3,Man United,38,18,12,8,66.0,36.0,30.0,66
1920,4,Chelsea,38,20,6,12,69.0,54.0,15.0,66
1920,5,Leicester,38,18,8,12,67.0,41.0,26.0,62
1920,6,Tottenham,38,16,11,11,61.0,47.0,14.0,59
1920,7,Wolves,38,15,14,9,51.0,40.0,11.0,59
1920,8,Arsenal,38,14,14,10,56.0,48.0,8.0,56
1920,9,Sheffield United,38,14,12,12,39.0,39.0,0.0,54
1920,10,Burnley,38,15,9,14,43.0,50.0,-7.0,54
1920,11,Southampton,38,15,7,16,51.0,60.0,-9.0,52
1920,12,Everton,38,13,10,15,44.0,56.0,-12.0,49
1920,13,Newcastle,38,11,11,16,38.0,58.0,-20.0,44
1920,14,Crystal Palace,38,11,10,17,31.0,50.0,-19.0,43
1920,15,Brighton,38,9,14,15,39.0,54.0,-15.0,41
1920,16,West Ham,38,10,9,19,49.0,62.0,-13.0,39
1920,17,Aston Villa,38,9,8,21,41.0,67.0,-26.0,35
1920,18,Bournemouth,38,9,7,22,40.0,65.0,-25.0,34
1920,19,Watford,38,8,10,20,36.0,64.0,-28.0,34
1920,20,Norwich,38,5,6,27,26.0,75.0,-49.0,21
2021,1,Man City,38,27,5,6,83.0,32.0,51.0,86
2021,2,Man United,38,21,11,6,73.0,44.0,29.0,74
2021,3,Liverpool,38,20,9,9,68.0,42.0,26.0,69
2021,4,Chelsea,38,19,10,9,58.0,36.0,22.0,67
2021,5,Leicester,38,20,6,12,68.0,50.0,18.0,66
2021,6,West Ham,38,19,8,11,62.0,47.0,15.0,65
2021,7,Tottenham,38,18,8,12,68.0,45.0,23.0,62
2021,8,Arsenal,38,18,7,13,55.0,39.0,16.0,61
2021,9,Leeds,38,18,5,15,62.0,54.0,8.0,59
2021,10,Everton,38,17,8,13,47.0,48.0,-1.0,59
2021,11,Aston Villa,38,16,7,15,55.0,46.0,9.0,55
2021,12,Newcastle,38,12,9,17,46.0,62.0,-16.0,45
2021,13,Wolves,38,12,9,17,36.0,52.0,-16.0,45
2021,14,Crystal Palace,38,12,8,18,41.0,66.0,-25.0,44
2021,15,Southampton,38,12,7,19,47.0,68.0,-21.0,43
2021,16,Brighton,38,9,14,15,40.0,46.0,-6.0,41
2021,17,Burnley,38,10,9,19,33.0,55.0,-22.0,39
2021,18,Fulham,38,5,13,20,27.0,53.0,-26.0,28
2021,19,West Brom,38,5,11,22,35.0,76.0,-41.0,26
2021,20,Sheffield United,38,7,2,29,20.0,63.0,-43.0,23
2122,1,Man City,38,29,6,3,99.0,26.0,73.0,93
2122,2,Liverpool,38,28,8,2,94.0,26.0,68.0,92
2122,3,Chelsea,38,21,11,6,76.0,33.0,43.0,74
2122,4,Tottenham,38,22,5,11,69.0,40.0,29.0,71
2122,5,Arsenal,38,22,3,13,61.0,48.0,13.0,69
2122,6,Man United,38,16,10,12,57.0,57.0,0.0,58
2122,7,West Ham,38,16,8,14,60.0,51.0,9.0,56
2122,8,Leicester,38,14,10,14,62.0,59.0,3.0,52
2122,9,Brighton,38,12,15,11,42.0,44.0,-2.0,51
2122,10,Wolves,38,15,6,17,38.0,43.0,-5.0,51
2122,11,Newcastle,38,13,10,15,44.0,62.0,-18.0,49
2122,12,Crystal Palace,38,11,15,12,50.0,46.0,4.0,48
2122,13,Brentford,38,13,7,18,48.0,56.0,-8.0,46
2122,14,Aston Villa,38,13,6,19,52.0,54.0,-2.0,45
2122,15,Southampton,38,9,13,16,43.0,67.0,-24.0,40
2122,16,Everton,38,11,6,21,43.0,66.0,-23.0,39
2122,17,Leeds,38,9,11,18,42.0,79.0,-37.0,38
2122,18,Burnley,38,7,14,17,34.0,53.0,-19.0,35
2122,19,Watford,38,6,5,27,34.0,77.0,-43.0,23
2122,20,Norwich,38,5,7,26,23.0,84.0,-61.0,22
2223,1,Man City,38,28,5,5,94.0,33.0,61.0,89
2223,2,Arsenal,38,26,6,6,88.0,43.0,45.0,84
2223,3,Man United,38,23,6,9,58.0,43.0,15.0,75
2223,4,Newcastle,38,19,14,5,68.0,33.0,35.0,71
2223,5,Liverpool,38,19,10,9,75.0,47.0,28.0,67
2223,6,Brighton,38,18,8,12,72.0,53.0,19.0,62
2223,7,Aston Villa,38,18,7,13,51.0,46.0,5.0,61
2223,8,Tottenham,38,18,6,14,70.0,63.0,7.0,60
2223,9,Brentford,38,15,14,9,58.0,46.0,12.0,59
2223,10,Fulham,38,15,7,16,55.0,53.0,2.0,52
2223,11,Crystal Palace,38,11,12,15,40.0,49.0,-9.0,45
2223,12,Chelsea,38,11,11,16,38.0,47.0,-9.0,44
2223,13,Wolves,38,11,8,19,31.0,58.0,-27.0,41
2223,14,West Ham,38,11,7,20,42.0,55.0,-13.0,40
2223,15,Bournemouth,38,11,6,21,37.0,71.0,-34.0,39
2223,16,Nott'm Forest,38,9,11,18,38.0,68.0,-30.0,38
2223,17,Everton,38,8,12,18,34.0,57.0,-23.0,36
2223,18,Leicester,38,9,7,22,51.0,68.0,-17.0,34
2223,19,Leeds,38,7,10,21,48.0,78.0,-30.0,31
2223,20,Southampton,38,6,7,25,36.0,73.0,-37.0,25
2324,1,Man City,38,28,7,3,96.0,34.0,62.0,91
2324,2,Arsenal,38,28,5,5,91.0,29.0,62.0,89
2324,3,Liverpool,38,24,10,4,86.0,41.0,45.0,82
2324,4,Aston Villa,38,20,8,10,76.0,61.0,15.0,68
2324,5,Tottenham,38,20,6,12,74.0,61.0,13.0,66
2324,6,Chelsea,38,18,9,11,77.0,63.0,14.0,63
2324,7,Newcastle,38,18,6,14,85.0,62.0,23.0,60
2324,8,Man United,38,18,6,14,57.0,58.0,-1.0,60
2324,9,West Ham,38,14,10,14,60.0,74.0,-14.0,52
2324,10,Crystal Palace,38,13,10,15,57.0,58.0,-1.0,49
2324,11,Brighton,38,12,12,14,55.0,62.0,-7.0,48
2324,12,Everton,38,13,9,16,40.0,51.0,-11.0,48
2324,13,Bournemouth,38,13,9,16,54.0,67.0,-13.0,48
2324,14,Fulham,38,13,8,17,55.0,61.0,-6.0,47
2324,15,Wolves,38,13,7,18,50.0,65.0,-15.0,46
2324,16,Brentford,38,10,9,19,56.0,65.0,-9.0,39
2324,17,Nott'm Forest,38,9,9,20,49.0,67.0,-18.0,36
2324,18,Luton,38,6,8,24,52.0,85.0,-33.0,26
2324,19,Burnley,38,5,9,24,41.0,78.0,-37.0,24
2324,20,Sheffield United,38,3,7,28,35.0,104.0,-69.0,16
2425,1,Liverpool,38,25,9,4,86.0,41.0,45.0,84
2425,2,Arsenal,38,20,14,4,69.0,34.0,35.0,74
2425,3,Man City,38,21,8,9,72.0,44.0,28.0,71
2425,4,Chelsea,38,20,9,9,64.0,43.0,21.0,69
2425,5,Newcastle,38,20,6,12,68.0,47.0,21.0,66
2425,6,Aston Villa,38,19,9,10,58.0,51.0,7.0,66
2425,7,Nott'm Forest,38,19,8,11,58.0,46.0,12.0,65
2425,8,Brighton,38,16,13,9,66.0,59.0,7.0,61
2425,9,Bournemouth,38,15,11,12,58.0,46.0,12.0,56
2425,10,Brentford,38,16,8,14,66.0,57.0,9.0,56
2425,11,Fulham,38,15,9,14,54.0,54.0,0.0,54
2425,12,Crystal Palace,38,13,14,11,51.0,51.0,0.0,53
2425,13,Everton,38,11,15,12,42.0,44.0,-2.0,48
2425,14,West Ham,38,11,10,17,46.0,62.0,-16.0,43
2425,15,Man United,38,11,9,18,44.0,54.0,-10.0,42
2425,16,Wolves,38,12,6,20,54.0,69.0,-15.0,42
2425,17,Tottenham,38,11,5,22,64.0,65.0,-1.0,38
2425,18,Leicester,38,6,7,25,33.0,80.0,-47.0,25
2425,19,Ipswich,38,4,10,24,36.0,82.0,-46.0,22
2425,20,Southampton,38,2,6,30,26.0,86.0,-60.0,12
2526,1,Arsenal,38,26,7,5,71.0,27.0,44.0,85
2526,2,Man City,38,23,9,6,77.0,35.0,42.0,78
2526,3,Man United,38,20,11,7,69.0,50.0,19.0,71
2526,4,Aston Villa,38,19,8,11,56.0,49.0,7.0,65
2526,5,Liverpool,38,17,9,12,63.0,53.0,10.0,60
2526,6,Bournemouth,38,13,18,7,58.0,54.0,4.0,57
2526,7,Sunderland,38,14,12,12,42.0,48.0,-6.0,54
2526,8,Brighton,38,14,11,13,52.0,46.0,6.0,53
2526,9,Brentford,38,14,11,13,55.0,52.0,3.0,53
2526,10,Chelsea,38,14,10,14,58.0,52.0,6.0,52
2526,11,Fulham,38,15,7,16,47.0,51.0,-4.0,52
2526,12,Newcastle,38,14,7,17,53.0,55.0,-2.0,49
2526,13,Everton,38,13,10,15,47.0,50.0,-3.0,49
2526,14,Leeds,38,11,14,13,49.0,56.0,-7.0,47
2526,15,Crystal Palace,38,11,12,15,41.0,51.0,-10.0,45
2526,16,Nott'm Forest,38,11,11,16,48.0,51.0,-3.0,44
2526,17,Tottenham,38,10,11,17,48.0,57.0,-9.0,41
2526,18,West Ham,38,10,9,19,46.0,65.0,-19.0,39
2526,19,Burnley,38,4,10,24,38.0,75.0,-37.0,22
2526,20,Wolves,38,3,11,24,27.0,68.0,-41.0,20
